"","duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_error_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","AttackType"
"143497",0,0,0.04,0,1e-04,0.00284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0,0.05,0.1,0,0.184,0.014,0.004,0.003,0.001,0.014,0,0,0,0,"Normal"
"82452",0,0,0,0,0.00164,0.04132,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0.1,0,0.1,0.073,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
"365631",0,0.01,0.02,0,0.00043,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.036,0,0,0,0,0.1,0,0.011,0.255,0.255,0.1,0,0.001,0,0,0,0,0,"Normal"
"574962",0,0.01,0.02,0,0.00037,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0,0,0,0,0.1,0,0.05,0.255,0.234,0.092,0.001,0.001,0,0,0,0,0,"Normal"
"300570",1e-04,0,0.01,0,0.00728,0.00398,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.054,0.17,0.074,0.006,0.002,0.001,0,0,0,0,"Normal"
"5120",0,0,0,0,0.00255,0.00261,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.062,0.255,0.1,0,0.002,0.005,0,0,0,0,"Normal"
"15616",0,0,0,0,0.00354,0.02997,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.039,0,0,0,0,0.1,0,0.008,0.077,0.255,0.1,0,0.001,0.004,0,0,0,0,"Normal"
"108760",0,0,0.01,0,0.01076,0.00328,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0.002,0.002,0,0,0,0,0.05,0.1,0.1,0.079,0.058,0.073,0.005,0.001,0,0,0,0,0,"Normal"
"340989",0,0,0.14,0,0.06601,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.018,0.018,0,0,0,0,0.1,0,0,0.051,0.08,0.082,0.004,0.082,0.004,0,0,0,0,"Normal"
"541721",0,0,0,0,0.00325,0.00284,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
