"","duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_error_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","AttackType"
"164380",0,0,0,0,0.00234,0.02354,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.006,0.007,0,0,0,0,0.1,0,0.029,0.006,0.255,0.1,0,0.017,0.001,0,0,0,0,"Normal"
"253713",0,0,0,0,0.00349,0.00852,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.014,0.021,0,0,0,0,0.1,0,0.01,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"69474",0,0,0,0,0.00329,0.00316,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0,0,0,0,0.1,0,0.033,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"368545",0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0.1,0.1,0.1,0,0.1,0.057,0.255,0.1,0,0.002,0.015,0,0,0.1,0.1,"Normal"
"47626",0,0,0,0,0.00236,0.05665,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.021,0,0,0,0,0.1,0,0.019,0.03,0.255,0.1,0,0.003,0.004,0,0,0,0,"Normal"
"348393",0,0,0.14,0,0.03676,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.246,0.064,0.026,0.002,0.026,0,0,0,0,0,"Normal"
"509574",0,0,0,0,0.00205,0.11619,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.017,0.027,0,0,0,0,0.1,0,0.011,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
"87599",0,0,0,0,0.0028,0.01538,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.015,0.033,0,0,0,0,0.1,0,0.012,0.036,0.255,0.1,0,0.003,0.005,0,0,0,0,"Normal"
"168367",0,0,0,0,0.00207,0.0138,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.011,0.255,0.1,0,0.009,0.005,0,0,0,0,"Normal"
"342068",0,0,0,0,0.00274,0.08186,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.255,0.246,0.096,0.001,0,0,0,0,0,0,"Normal"
