"duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_error_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","AttackType"
0,0,0.01,0,0.00987,0.00332,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.093,0.084,0.071,0.003,0.001,0.002,0,0,0,0,"Normal"
0,0,0,0,0.0033,0.00279,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.255,0.253,0.099,0.001,0,0,0,0,0,0,"Normal"
0,0,0,0,0.00241,0.02496,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.027,0.027,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0.001,0,0,0,0,0,"Normal"
0,0,0,0,0.00286,0.00659,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.026,0.026,0,0,0,0,0.1,0,0,0.026,0.255,0.1,0,0.004,0.001,0,0,0,0,"Normal"
0,0,0,0,0.00243,0.01721,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
0,0,0,0,0.00322,0.18177,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.01,0,0,0,0,0.1,0,0.03,0.072,0.255,0.1,0,0.001,0.003,0,0,0,0,"Normal"
0,0,0,0,0.00228,0.00274,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.013,0.013,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
0,0,0,0,0.0032,0.01345,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0.1,0,0,0.041,0.255,0.1,0,0.002,0.006,0,0,0,0,"Normal"
0,0,0,0,0.00226,0.06603,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0.1,0,0,0.012,0.255,0.1,0,0.008,0.005,0,0,0,0,"Normal"
0,0,0,0,0.00219,0.04373,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0.1,0,0,0.043,0.255,0.1,0,0.002,0.006,0,0,0,0,"Normal"
0,0,0,0,0.00197,0.00456,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.014,0.014,0,0,0,0,0.1,0,0,0.014,0.255,0.1,0,0.007,0.004,0,0,0,0,"Normal"
0,0,0,0,0.00212,0.00882,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.013,0.013,0,0,0,0,0.1,0,0,0.024,0.255,0.1,0,0.004,0.006,0,0,0,0,"Normal"
0,0,0,0,0.00203,0.0091,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0.1,0,0,0.118,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
0,0,0,0,0.00223,0.02104,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.037,0.037,0,0,0,0,0.1,0,0,0.042,0.255,0.1,0,0.002,0.003,0.002,0,0,0,"Normal"
0,0.01,0.02,0,0.00046,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.234,0,0,0,0,0.1,0.001,0,0.255,0.254,0.1,0.001,0,0,0,0,0,0,"Normal"
0.0005,0,0.01,0,0.00597,0.00342,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.137,0.07,0.051,0.004,0.001,0,0,0,0.001,0,"Normal"
0,0,0,0,0.002,0.07525,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.005,0.008,0,0,0,0,0.1,0,0.025,0.005,0.255,0.1,0,0.02,0.001,0,0,0,0,"Normal"
0,0,0.14,0,0.00252,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0.1,0,0,0.255,0.111,0.044,0.003,0.044,0,0,0.001,0,0,"Normal"
0,0.01,0.02,0,0.00045,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.133,0,0,0,0,0.1,0,0.002,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
0.0006,0,0.01,0,0.01495,0.00334,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0.1,0,0.1,0.062,0.136,0.05,0.005,0.002,0.001,0,0,0,0,"Normal"
0,0,0.01,0,0.01798,0.00335,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.202,0.174,0.073,0.002,0,0.001,0,0,0,0,"Normal"
