"duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_error_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","AttackType"
0,0,0.14,0,0.00748,0,0,0,0,0,0,0.1,0,0,0,0.9,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.122,0.075,0.034,0.002,0.034,0.003,0,0,0,0,"Normal"
0.001,0,0.01,0,0.00973,0.00333,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.111,0.058,0.052,0.004,0.001,0,0,0,0,0,"Normal"
0,0,0,0,0.00227,0.05202,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.001,0.255,0.1,0,0.1,0.004,0,0,0,0,"Normal"
0,0,0,0,0.00215,0.00354,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.034,0.037,0,0,0,0,0.1,0,0.011,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
0,0,0,0,0.00212,0.05397,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0.008,0,0,0,0,0.1,0,0,0.21,0.255,0.1,0,0,0.001,0,0,0,0,"Normal"
0.0001,0,0.01,0,0.01064,0.00281,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.078,0.144,0.049,0.008,0.001,0.001,0,0,0,0,"Normal"
0,0,0,0,0.00223,0.00602,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.013,0,0,0,0,0.1,0,0.031,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
0,0,0,0,0.00235,0.02497,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0,0,0,0,0.1,0,0.067,0.255,0.252,0.099,0.001,0,0,0,0,0,0,"Normal"
0.0001,0,0.01,0,0.02298,0.00333,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0.1,0,0.1,0.062,0.171,0.045,0.008,0.002,0.001,0,0,0,0,"Normal"
0,0,0,0,0.00316,0.01378,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.1,0.1,0.1,0,0,0.001,0.154,0.1,0,0.1,0.021,0,0,0.1,0.1,"Normal"
0,0,0,0,0.00303,0.00631,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.028,0.028,0,0,0,0,0.1,0,0,0.114,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
0,0,0,0,0.00209,0.00188,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.006,0,0,0,0,0.1,0,0.033,0.002,0.255,0.1,0,0.05,0.003,0,0,0,0,"Normal"
0,0,0,0,0.00192,0.00828,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0.1,0,0,0.08,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
0,0,0,0,0.00219,0.01248,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.016,0.016,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0,0,0,0,"Normal"
0,0,0,0,0.00342,0.02842,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.013,0.017,0,0,0,0,0.1,0,0.012,0.074,0.255,0.1,0,0.001,0.001,0,0,0,0,"Normal"
0,0,0,0,0.00202,0.00927,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0.1,0,0,0.003,0.255,0.1,0,0.033,0.002,0,0,0,0,"Normal"
