"duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_error_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","AttackType"
0,0,0,0,0.00212,0.82136,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.006,0.255,0.1,0,0.017,0.006,0,0,0,0,"Normal"
0,0.01,0.02,0,0.00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0,0.05,0.1,0,0.039,0.003,0.008,0.015,0.008,0,0,0,0,0,"Normal"
0.0078,0,0,0,0.00313,0.0466,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.016,0.02,0,0,0,0,0.1,0,0.025,0.03,0.255,0.1,0,0.003,0.003,0,0,0,0,"Normal"
0,0,0,0,0.00239,0.01136,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.005,0.015,0,0,0,0,0.1,0,0.013,0.125,0.255,0.1,0,0.001,0.002,0,0,0,0,"Normal"
0,0,0,0,0.00283,0.03198,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0.1,0,0,0.01,0.255,0.1,0,0.01,0.004,0,0,0,0,"Normal"
0,0,0,0,0.00198,0.00559,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0,0,0.1,0,0.067,0.032,0.255,0.1,0,0.003,0.005,0.003,0.001,0,0,"Normal"
0,0,0,0,0.00221,0.03461,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0.008,0,0,0,0,0.1,0,0,0.008,0.255,0.1,0,0.012,0.002,0,0,0,0,"Normal"
0,0,0,0,0.00315,0.01079,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0.1,0,0,0.255,0.255,0.1,0,0,0,0.001,0.001,0.002,0.002,"Normal"
0,0,0,0,0.00301,0.37466,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0.008,0,0,0,0,0.1,0,0,0.036,0.251,0.1,0,0.003,0.006,0,0,0,0,"Normal"
0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0.1,0.1,0.1,0,0.1,0.002,0.237,0.1,0,0.05,0.019,0,0,0.1,0.1,"Normal"
